date,open,high,low,close,volume,market_cap
2021-03-02,1418.67,1602.9,1409.91,1580.38,1138435.32573,1138435.32573
2021-02-28,1312.45,2042.34,1269.99,1419.18,33561918.2926,33561918.2926
2021-01-31,736.42,1475.0,714.29,1312.55,59503044.0125,59503044.0125
2020-12-31,616.65,758.74,530.43,736.42,30451194.4334,30451194.4334
2020-11-30,386.44,623.0,370.23,616.66,36426105.3325,36426105.3325
2020-10-31,359.83,420.73,332.18,386.46,19292758.2613,19292758.2613
2020-09-30,433.8,488.84,308.42,359.83,34431117.9933,34431117.9933
2020-08-31,346.32,446.0,325.0,433.79,28769352.887,28769352.887
2020-07-31,225.59,349.45,222.87,346.33,20935176.0531,20935176.0531
2020-06-30,231.56,253.8,216.0,225.6,16073920.0773,16073920.0773
2020-05-31,206.07,247.0,176.0,231.57,24717586.8185,24717586.8185
2020-04-30,132.72,227.3,128.62,206.08,30622487.9429,30622487.9429
2020-03-31,217.29,251.93,86.0,132.72,40100166.9895,40100166.9895
2020-02-29,179.94,288.41,179.1,217.21,21153996.1458,21153996.1458
2020-01-31,129.16,187.0,125.88,179.99,12817879.2572,12817879.2572
2019-12-31,151.43,152.49,116.26,129.16,8781775.78331,8781775.78331
2019-11-30,182.19,195.09,131.45,151.37,10175750.1643,10175750.1643
2019-10-31,180.89,197.74,153.45,182.18,14105916.5904,14105916.5904
2019-09-30,171.52,223.94,150.03,180.85,13648082.3699,13648082.3699
2019-08-31,218.42,239.15,163.61,171.57,6963710.33197,6963710.33197
2019-07-31,292.89,318.19,191.84,218.42,11176590.6507,11176590.6507
2019-06-30,267.9,366.8,226.56,292.7,12433954.4044,12433954.4044
2019-05-31,161.85,288.62,157.55,267.9,18976801.3618,18976801.3618
2019-04-30,141.41,185.87,139.57,161.83,12829462.3407,12829462.3407
2019-03-31,135.32,145.89,122.6,141.38,8362024.665,8362024.665
2019-02-28,106.47,166.0,101.21,135.34,12685474.0086,12685474.0086
2019-01-31,131.45,159.26,100.91,106.44,13940118.5,13940118.5
2018-12-31,113.71,157.67,81.79,131.45,18264688.9784,18264688.9784
2018-11-30,198.7,224.8,102.36,113.73,10359779.8116,10359779.8116
2018-10-31,233.04,239.0,189.01,198.73,5656055.71475,5656055.71475
2018-09-30,281.46,302.0,167.32,232.94,15011197.2449,15011197.2449
2018-08-31,432.2,434.99,250.0,281.41,8484870.73771,8484870.73771
2018-07-31,454.2,515.47,416.94,432.22,4643015.20349,4643015.20349
